Megantereon,Megantereon megantereon,1.60585,3.9605
Megantereon,Megantereon nihowanensis,1.29985,1.29985
Megantereon,Megantereon whitei,1.29985,3.0940000000000003
Miracinonyx,Miracinonyx inexpectatus,0.06885,3.35
Miracinonyx,Miracinonyx studeri,0.06885,3.35
Moghradictis,Moghradictis nedjema,19.5,19.5
Mungos,Mungos mungo,0.00585,1.294
Neofelis,Neofelis nebulosa,0.06885,0.06885
Nimravides,Nimravides galiani,9.25,11.95
Nimravides,Nimravides hibbardi,7.6000000000000005,7.6000000000000005
Nimravides,Nimravides pedionomus,11.95,11.95
Nimravides,Nimravides thinobates,7.6000000000000005,14.1815
Nimravus,Nimravus intermedius,25.565,35.55
Nimravus,Nimravus mongoliensis,35.55,35.55
Nimravus,Nimravus sectator,25.615000000000002,25.615000000000002
Orangictis,Orangictis gariepensis,17.319000000000003,17.319000000000003
Paguma,Paguma larvata,0.06885,1.294
Palaeogale,Palaeogale dorothiae,25.615000000000002,28.55
Palaeogale,Palaeogale hyaenoides,16.435,16.435
Palaeogale,Palaeogale minuta,16.435,25.615000000000002
Palaeogale,Palaeogale praehyaenoides,21.2,21.2
Palaeogale,Palaeogale sanguinarius,25.615000000000002,25.615000000000002
Palaeogale,Palaeogale sectoria,18.2,35.55
Panthera,Panthera blytheae,7.604,7.604
Panthera,Panthera gombaszoegensis,0.39635000000000004,3.9605
Panthera,Panthera leo,0.00585,3.057
Panthera,Panthera leo atrox,0.00585,1.29985
Panthera,Panthera onca,0.00585,3.35
Panthera,Panthera pardus,0.00585,3.9605
Panthera,Panthera tigris,0.00585,1.6845
Paradoxurus,Paradoxurus hermaphroditus,0.4535,0.4535
Parahyaena,Parahyaena brunnea,0.00585,12.809000000000001
Pliocrocuta,Pliocrocuta perrieri,0.4535,3.9605
Pogonodon,Pogonodon brachyops,25.615000000000002,32.05
Pogonodon,Pogonodon eileenae,28.55,28.55
Pogonodon,Pogonodon platycopis,25.615000000000002,25.615000000000002
Pratifelis,Pratifelis martini,7.6000000000000005,7.6000000000000005
Prionailurus,Prionailurus bengalensis,1.6845,1.6845
Proailurus,Proailurus lemanensis,21.2,25.715
Proteles,Proteles cristatus,1.29985,1.29985
Pseudaelurus,Pseudaelurus aeluroides,14.785,14.785
Pseudaelurus,Pseudaelurus africanus,19.5,19.5
Pseudaelurus,Pseudaelurus intrepidus,7.6000000000000005,18.2
Pseudaelurus,Pseudaelurus lorteti,12.375,16.435
Pseudaelurus,Pseudaelurus marshi,14.1815,14.785
Pseudaelurus,Pseudaelurus quadridentatus,11.608,15.274999999999999
Pseudaelurus,Pseudaelurus romieviensis,14.895,16.435
Pseudaelurus,Pseudaelurus stouti,14.785,14.785
Pseudaelurus,Pseudaelurus turnauensis,12.375,19.5
Pseudaelurus,Pseudaelurus validus,14.785,18.2
Puma,Puma concolor,0.00585,3.35
Puma,Puma yagouaroundi,0.00585,0.06885
Quercylurus,Quercylurus major,25.565,31.15
Semigenetta,Semigenetta cadeoti,16.435,16.435
Shandgolictis,Shandgolictis constans,31.15,31.15
Smilodon,Smilodon fatalis,0.063,1.29985
Smilodon,Smilodon gracilis,0.06885,3.35
Smilodon,Smilodon populator,0.00585,1.6845
Smilodon,Smilodon riggii,1.29985,1.29985
Stenogale,Stenogale bransatensis,25.715,25.715
Stenogale,Stenogale intermedia,28.465,28.465
Stenoplesictis,Stenoplesictis cayluxi,25.565,31.15
Stenoplesictis,Stenoplesictis crocheti,25.715,25.715
Stenoplesictis,Stenoplesictis elegans,31.15,31.15
Stenoplesictis,Stenoplesictis minor,28.465,31.15
Suricata,Suricata suricatta,0.06885,1.6845
Thalassictis,Thalassictis robusta,6.325,10.399999999999999
Ugandictis,Ugandictis napakensis,18.205000000000002,19.5
Uncia,Uncia mercerii,1.05,1.05
Uncia,Uncia spelea,1.29985,1.29985
Viretictis,Viretictis gaillardi,25.715,25.715
Viretictis,Viretictis julieni,21.2,21.2
Viverra,Viverra leakeyi,3.0940000000000003,9.433
Viverra,Viverra zibetha,0.06885,0.4535
Viverricula,Viverricula malaccensis,1.29985,1.29985
Xenosmilus,Xenosmilus hodsonae,1.05,2.6
