"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"138743","occ","","","11798","Ictitherium","genus","41026","Turolian","","8.7","5.333","11437"
"138744","occ","","","11798","Viverrinae","subfamily","72213","Turolian","","8.7","5.333","11437"
"138826","occ","","","11799","Drepanodon","genus","45918","Late Miocene","Early Pliocene","11.608","3.6","4198"
"150059","occ","","","13293","Lynx","genus","41058","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150060","occ","","","13293","Panthera pardus","species","104158","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150061","occ","","","13293","Panthera tigris","species","104157","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150062","occ","","","13293","Crocuta crocuta","species","232133","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150063","occ","","","13293","Paguma larvata","species","232933","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150064","occ","","","13293","Herpestes urva","species","240141","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150065","occ","","","13293","Viverra zibetha","species","104163","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150891","occ","","","13456","Panthera leo","species","46521","Late Pleistocene","Holocene","0.126","0","6077"
"150892","occ","11214","","13456","Crocuta","genus","45364","Late Pleistocene","Holocene","0.126","0","11349"
"150923","occ","","","13472","Crocuta","genus","45364","Middle Miocene","","15.97","11.608","6080"
"150956","occ","","","13473","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080"
"150957","occ","","","13473","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080"
"150958","occ","","","13473","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080"
"150959","occ","","","13473","Vinayakia","genus","41082","Late Miocene","","11.608","5.333","6080"
"150960","occ","","","13473","Megantereon","genus","41060","Late Miocene","","11.608","5.333","6080"
"150961","occ","","","13473","Felidae","family","41045","Late Miocene","","11.608","5.333","6080"
"151009","occ","","","13474","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080"
"151010","occ","","","13474","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080"
"151036","occ","","","13477","Ictitherium","genus","41026","Late Miocene","","11.608","5.333","6093"
"153693","occ","","","13907","Leopardus vorohuensis","species","100309","Uquian","","3","1.2","6166"
"154618","occ","","","13738","Panthera tigris","species","104157","Holocene","","0.0117","0","6145"
"157954","occ","","","13998","Adcrocuta","genus","41021","Late Miocene","","11.608","5.333","6183"
"157955","occ","","","13998","Ictitherium","genus","41026","Late Miocene","","11.608","5.333","6183"
"165362","occ","","","14906","Ictidopappus mustelinus","species","47336","Torrejonian","","63.3","61.7","2953"
"177561","occ","","","16842","Nimravidae","family","41036","Duchesnean","","40.4","37.2","1782"
"177837","occ","","","16885","Eusmilus","genus","41040","Chadronian","","37.2","33.9","1235"
"177989","occ","","","16918","Dinictis felina","species","45752","Chadronian","","37.2","33.9","1757"
"178024","occ","","","16919","Dinictis","genus","41039","Chadronian","","37.2","33.9","3318"
"178025","occ","","","16919","Hoplophoneus","genus","41041","Chadronian","","37.2","33.9","3318"
"178170","occ","","","16929","Dinictis","genus","41039","Chadronian","","37.2","33.9","1944"
"178171","occ","","","16929","Hoplophoneus mentalis","species","47102","Chadronian","","37.2","33.9","1944"
"178204","occ","","","16930","Hoplophoneus mentalis","species","47102","Chadronian","","37.2","33.9","2716"
"178243","occ","","","16935","Dinictis","genus","41039","Chadronian","","37.2","33.9","1585"
"178266","occ","","","16938","Eusmilus","genus","41040","Chadronian","","37.2","33.9","1235"
"178267","occ","3523","","16938","Hoplophoneus mentalis","species","47102","Chadronian","","37.2","33.9","6294"
"178462","occ","","","16960","Nimravidae","family","41036","Chadronian","","37.2","33.9","1442"
"178548","occ","3602","","16962","Hoplophoneus mentalis","species","47102","Chadronian","","37.2","33.9","6294"
"178549","occ","","","16962","Dinictis","genus","41039","Chadronian","","37.2","33.9","1442"
"178599","occ","3618","","16963","Hoplophoneus mentalis","species","47102","Chadronian","","37.2","33.9","6294"
"178600","occ","","","16963","Dinictis","genus","41039","Chadronian","","37.2","33.9","1442"
"178637","occ","3630","","16964","Hoplophoneus mentalis","species","47102","Chadronian","","37.2","33.9","6294"
"178638","occ","","","16964","Dinictis","genus","41039","Chadronian","","37.2","33.9","1442"
"178663","occ","3640","","16965","Hoplophoneus mentalis","species","47102","Chadronian","","37.2","33.9","6294"
"178664","occ","","","16965","Dinictis","genus","41039","Chadronian","","37.2","33.9","1442"
"178679","occ","3646","","16966","Hoplophoneus mentalis","species","47102","Chadronian","","37.2","33.9","6294"
"178680","occ","","","16966","Dinictis","genus","41039","Chadronian","","37.2","33.9","1442"
"178712","occ","","","16976","Hoplophoneus","genus","41041","Chadronian","Orellan","37.2","33.3","2541"
"178729","occ","","","16977","Dinictis","genus","41039","Chadronian","","37.2","33.9","1570"
"178957","occ","3711","","17006","Hoplophoneus mentalis","species","47102","Chadronian","","37.2","33.9","6294"
"178958","occ","3712","","17006","Dinictis felina","species","45752","Chadronian","","37.2","33.9","6294"
"179008","occ","","","17009","Palaeogale","genus","40968","Chadronian","","37.2","33.9","2280"
"179044","occ","3739","","17010","Palaeogale sectoria","species","48868","Chadronian","","37.2","33.9","6294"
"179405","occ","","","17067","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","3170"
"179431","occ","","","17077","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","3406"
"179506","occ","3854","","17082","Palaeogale sectoria","species","48868","Orellan","","33.9","33.3","6294"
"179508","occ","","","17082","Dinictis","genus","41039","Orellan","","33.9","33.3","1570"
"179533","occ","3863","","17084","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","6294"
"179578","occ","","","17090","Palaeogale sectoria","species","48868","Orellan","","33.9","33.3","3359"
"179594","occ","3867","","17092","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","6294"
"179616","occ","","","17094","Hoplophoneus","genus","41041","Orellan","","33.9","33.3","6205"
"179617","occ","","","17094","Dinictis","genus","41039","Orellan","","33.9","33.3","6205"
"179650","occ","","","17098","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","1757"
"179651","occ","","","17098","Dinictis felina","species","45752","Orellan","","33.9","33.3","1757"
"179673","occ","","","17100","Dinictis","genus","41039","Orellan","","33.9","33.3","1923"
"179707","occ","","","17103","Dinictis","genus","41039","Orellan","","33.9","33.3","6205"
"179728","occ","3897","","17104","Palaeogale sectoria","species","48868","Orellan","","33.9","33.3","6294"
"179745","occ","3900","","17105","Palaeogale sectoria","species","48868","Orellan","","33.9","33.3","6294"
"179759","occ","3902","","17106","Palaeogale sectoria","species","48868","Orellan","","33.9","33.3","6294"
"179804","occ","","","17111","Palaeogale","genus","40968","Orellan","","33.9","33.3","3318"
"179859","occ","3917","","17120","Eusmilus sicarius","species","46436","Chadronian","Orellan","37.2","33.3","6294"
"179880","occ","","","17131","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","1939"
"179886","occ","","","17133","Dinictis felina","species","45752","Orellan","","33.9","33.3","3170"
"179887","occ","","","17133","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","3170"
"179949","occ","","","17141","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","2711"
"179992","occ","","","17153","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","2711"
"179993","occ","","","17153","Hoplophoneus occidentalis","species","47844","Orellan","","33.9","33.3","2711"
"180010","occ","3964","","17157","Dinictis felina","species","45752","Orellan","","33.9","33.3","6294"
"180011","occ","3965","","17157","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","6294"
"180012","occ","3966","","17158","Eusmilus sicarius","species","46436","Orellan","","33.9","33.3","6294"
"180085","occ","","","17173","Hoplophoneus","genus","41041","Orellan","","33.9","33.3","6205"
"180086","occ","","","17173","Dinictis","genus","41039","Orellan","","33.9","33.3","6205"
"180107","occ","","","17174","Palaeogale","genus","40968","Orellan","","33.9","33.3","6205"
"180108","occ","","","17174","Dinictis","genus","41039","Orellan","","33.9","33.3","6205"
"180137","occ","","","17180","Palaeogale sectoria","species","48868","Orellan","","33.9","33.3","1034"
"180138","occ","3988","","17180","Dinictis felina","species","45752","Orellan","","33.9","33.3","6294"
"180159","occ","","","17187","Dinictis","genus","41039","Orellan","","33.9","33.3","2230"
"180185","occ","","","17188","Dinictis","genus","41039","Orellan","","33.9","33.3","2230"
"180219","occ","","","17189","Palaeogale","genus","40968","Orellan","","33.9","33.3","2230"
"180562","occ","","","17295","Dinictis felina","species","45752","Orellan","","33.9","33.3","2711"
"180563","occ","","","17295","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","2711"
"180715","occ","4115","","17329","Pogonodon brachyops","species","47827","Whitneyan","","33.3","30.8","6294"
"180739","occ","","","17336","Dinictis","genus","41039","Whitneyan","","33.3","30.8","3163"
"180774","occ","","","17337","Nimravidae","family","41036","Whitneyan","","33.3","30.8","3163"
"180836","occ","","","17341","Palaeogale","genus","40968","Whitneyan","","33.3","30.8","2738"
"180847","occ","4137","","17343","Nimravidae","family","41036","Whitneyan","","33.3","30.8","6294"
"180871","occ","4152","","17344","Nimravidae","family","41036","Whitneyan","","33.3","30.8","6294"
"180880","occ","","","17508","Hoplophoneus cerebralis","species","47828","Arikareean","","30.8","20.43","31438"
"180881","occ","","","17349","Pogonodon brachyops","species","47827","Whitneyan","","33.3","30.8","31438"
"180936","occ","","","17358","Felidae","family","41045","Whitneyan","","33.3","30.8","3707"
"180982","occ","","","17372","Dinictis","genus","41039","Whitneyan","","33.3","30.8","3318"
"181035","occ","","","17384","Dinictis","genus","41039","Whitneyan","","33.3","30.8","2230"
"181065","occ","","","17385","Dinictis","genus","41039","Whitneyan","","33.3","30.8","2230"
"181077","occ","4216","","17390","Dinictis felina","species","45752","Whitneyan","","33.3","30.8","6294"
"181090","occ","","","17400","Pogonodon brachyops","species","47827","Whitneyan","","33.3","30.8","3437"
"181212","occ","","","17452","Nimravus sectator","species","49177","Arikareean","","30.8","20.43","2356"
"181289","occ","","","17474","Pogonodon brachyops","species","47827","Geringian","","30.8","26.3","3437"
"181308","occ","","","17476","Palaeogale minuta","species","48859","Arikareean","","30.8","20.43","4229"
"181329","occ","","","17481","Pogonodon","genus","41044","Arikareean","","30.8","20.43","2215"
"181333","occ","","","17483","Pogonodon brachyops","species","47827","Arikareean","","30.8","20.43","2356"
"181377","occ","","","17494","Palaeogale dorothiae","species","49647","Geringian","","30.8","26.3","3345"
"181417","occ","","","17497","Nimravus","genus","41043","Arikareean","","30.8","20.43","1359"
"181441","occ","","","93078","Dinaelurus crassus","species","45744","Arikareean","","30.8","20.43","31438"
"181442","occ","","","93078","Pogonodon platycopis","species","47107","Arikareean","","30.8","20.43","31438"
"181443","occ","","","93078","Dinictis cyclops","species","45750","Arikareean","","30.8","20.43","31438"
"181444","occ","","","17508","Pogonodon brachyops","species","47827","Arikareean","","30.8","20.43","31438"
"181557","occ","4422","","17526","Nimravidae","family","41036","Monroecreekian","","26.3","24.8","6294"
"181586","occ","4433","","17527","Pogonodon brachyops","species","47827","Arikareean","","30.8","20.43","6294"
"181587","occ","4434","","17527","Hoplophoneus cerebralis","species","47828","Arikareean","","30.8","20.43","6294"
"181663","occ","","","17537","Pogonodon brachyops","species","47827","Arikareean","","30.8","20.43","31438"
"181771","occ","","","17543","Felidae","family","41045","Arikareean","","30.8","20.43","2831"
"181995","occ","","","17602","Palaeogale dorothiae","species","49647","Arikareean","","30.8","20.43","3345"
"182000","occ","","","93079","Pogonodon","genus","41044","Arikareean","","30.8","20.43","1144"
"182041","occ","4634","","17606","Hoplophoneus cerebralis","species","47828","Arikareean","","30.8","20.43","3386"
"182117","occ","","","17630","Palaeogale","genus","40968","Geringian","","30.8","26.3","2356"
"182136","occ","","","17633","Palaeogale dorothiae","species","49647","Geringian","","30.8","26.3","2356"
"182172","occ","","","17635","Palaeogale dorothiae","species","49647","Geringian","","30.8","26.3","2356"
"182198","occ","","","17636","Palaeogale dorothiae","species","49647","Geringian","","30.8","26.3","2356"
"182199","occ","","","17636","Pogonodon brachyops","species","47827","Geringian","","30.8","26.3","2356"
"182294","occ","","","17644","Palaeogale dorothiae","species","49647","Geringian","","30.8","26.3","2356"
"182295","occ","4774","","17644","Pogonodon eileenae","species","45751","Geringian","","30.8","26.3","6294"
"182302","occ","4778","","17645","Hoplophoneus cerebralis","species","47828","Geringian","","30.8","26.3","6294"
"182313","occ","","","17649","Palaeogale dorothiae","species","49647","Geringian","","30.8","26.3","2356"
"182315","occ","","","17650","Pogonodon brachyops","species","47827","Geringian","","30.8","26.3","2356"
"182352","occ","4806","","17660","Hoplophoneus cerebralis","species","47828","Geringian","","30.8","26.3","6294"
"182368","occ","4816","","17667","Palaeogale sanguinarius","species","50591","Arikareean","","30.8","20.43","6294"
"182477","occ","","","17705","Hoplophoneus cerebralis","species","47828","Geringian","","30.8","26.3","1148"
"182701","occ","","","17764","Nimravidae","family","41036","Harrisonian","","24.8","20.43","1544"
"183075","occ","5073","","17837","Palaeogale minuta","species","48859","Harrisonian","","24.8","20.43","4229"
"183123","occ","","","17846","Palaeogale","genus","40968","Harrisonian","","24.8","20.43","1270"
"183201","occ","","","17865","Palaeogale minuta","species","48859","Hemingfordian","","20.43","15.97","2324"
"183410","occ","","","17905","Felidae","family","41045","Barstovian","","15.97","13.6","1978"
"183494","occ","5182","","17912","Palaeogale sectoria","species","48868","Hemingfordian","","20.43","15.97","6294"
"183554","occ","5199","","17917","Felidae","family","41045","Hemingfordian","","20.43","15.97","1978"
"184136","occ","","","18033","Amphimachairodus coloradensis","species","47842","Hemphillian","","10.3","4.9","3175"
"184146","occ","","","18034","Nimravides thinobates","species","51147","Hemphillian","","10.3","4.9","6208"
"184169","occ","","","18036","Machairodus","genus","41059","Late Hemphillian","","10.3","4.9","6209"
"184233","occ","5372","","18046","Nimravides thinobates","species","51147","Hemphillian","","10.3","4.9","6294"
"184272","occ","","","18060","Pseudaelurus","genus","41072","Clarendonian","","13.6","10.3","3564"
"184295","occ","","","18063","Pseudaelurus","genus","41072","Clarendonian","","13.6","10.3","1720"
"184381","occ","","","18072","Nimravides thinobates","species","51147","Hemphillian","","10.3","4.9","6208"
"184382","occ","","","18072","Machairodus","genus","41059","Hemphillian","","10.3","4.9","6208"
"184409","occ","","","18073","Amphimachairodus coloradensis","species","47842","Hemphillian","","10.3","4.9","3715"
"184431","occ","5442","","18076","Felis rexroadensis","species","46527","Late Hemphillian","","10.3","4.9","3585"
"184542","occ","","","18086","Nimravides","genus","41065","Hemphillian","","10.3","4.9","3510"
"184627","occ","","","18093","Felidae","family","41045","Late Hemphillian","","10.3","4.9","6209"
"184665","occ","","","18096","Felidae","family","41045","Clarendonian","","13.6","10.3","6207"
"184693","occ","","","18097","Amphimachairodus coloradensis","species","47842","Hemphillian","","10.3","4.9","6209"
"184694","occ","5515","","18097","Lynx proterolyncis","species","46526","Hemphillian","","10.3","4.9","6294"
"184695","occ","","","18097","Nimravides hibbardi","species","51142","Hemphillian","","10.3","4.9","6209"
"184934","occ","","","18126","Machairodus","genus","41059","Late Hemphillian","","10.3","4.9","3510"
"185008","occ","5608","","18140","Amphimachairodus coloradensis","species","47842","Hemphillian","","10.3","4.9","1800"
"185009","occ","","","18140","Adelphailurus kansensis","species","43735","Hemphillian","","10.3","4.9","1835"
"185119","occ","","","18158","Felidae","family","41045","Hemphillian","","10.3","4.9","3510"
"185190","occ","","","18164","Pseudaelurus intrepidus","species","51143","Barstovian","","15.97","13.6","3510"
"185221","occ","","","18165","Pseudaelurus","genus","41072","Barstovian","","15.97","13.6","3239"
"185230","occ","","","18166","Adelphailurus kansensis","species","43735","Hemphillian","","10.3","4.9","1058"
"185301","occ","","","18180","Nimravides galiani","species","49164","Clarendonian","Hemphillian","13.6","4.9","2218"
"185307","occ","5694","","18181","Nimravides thinobates","species","51147","Clarendonian","Hemphillian","13.6","4.9","6294"
"185308","occ","","","18181","Machairodus","genus","41059","Clarendonian","Hemphillian","13.6","4.9","1132"
"185416","occ","","","18198","Nimravides thinobates","species","51147","Hemphillian","","10.3","4.9","6208"
"185563","occ","","","18208","Pseudaelurus","genus","41072","Barstovian","","15.97","13.6","781"
"185598","occ","","","18209","Pseudaelurus marshi","species","51144","Barstovian","","15.97","13.6","3510"
"185697","occ","","","18219","Nimravides","genus","41065","Clarendonian","","13.6","10.3","3794"
"185708","occ","5809","","18220","Pseudaelurus stouti","species","47825","Barstovian","","15.97","13.6","3072"
"185776","occ","","","18225","Nimravides","genus","41065","Hemphillian","","10.3","4.9","2218"
"185838","occ","","","18233","Felidae","family","41045","Clarendonian","","13.6","10.3","3564"
"185915","occ","","","18241","Pratifelis martini","species","50657","Hemphillian","","10.3","4.9","1058"
"186031","occ","","","18250","Pseudaelurus","genus","41072","Barstovian","","15.97","13.6","781"
"186116","occ","","","18263","Nimravides thinobates","species","51147","Hemphillian","","10.3","4.9","3405"
"186174","occ","","","18271","Pseudaelurus marshi","species","51144","Miocene","","23.03","5.333","3418"
"186315","occ","5974","","18284","Felidae","family","41045","Barstovian","","15.97","13.6","3510"
"186354","occ","","","18294","Nimravides pedionomus","species","51145","Clarendonian","","13.6","10.3","3564"
"186369","occ","","","18295","Nimravides galiani","species","49164","Clarendonian","Hemphillian","13.6","4.9","2218"
"186391","occ","","","18298","Nimravides","genus","41065","Late Clarendonian","late Early Hemphillian","13.6","4.9","3510"
"186439","occ","6010","","18304","Amphimachairodus coloradensis","species","47842","Hemphillian","","10.3","4.9","6209"
"186440","occ","6011","","18304","Lynx proterolyncis","species","46526","Hemphillian","","10.3","4.9","3013"
"186441","occ","","","18304","Adelphailurus","genus","41047","Hemphillian","","10.3","4.9","6209"
"186481","occ","","","18308","Felidae","family","41045","Miocene","","23.03","5.333","6208"
"186635","occ","","","18326","Felidae","family","41045","Clarendonian","Hemphillian","13.6","4.9","3510"
"186721","occ","","","18338","Nimravides thinobates","species","51147","Miocene","","23.03","5.333","3475"
"186739","occ","","","18342","Amphimachairodus coloradensis","species","47842","Hemphillian","","10.3","4.9","1800"
"186892","occ","6128","","18359","Felis rexroadensis","species","46527","Late Hemphillian","","10.3","4.9","6294"
"186943","occ","","","18372","Felidae","family","41045","Clarendonian","","13.6","10.3","3564"
"187142","occ","","","18424","Pseudaelurus intrepidus","species","51143","Clarendonian","Hemphillian","13.6","4.9","1498"
"187184","occ","6218","","18437","Amphimachairodus coloradensis","species","47842","Clarendonian","Hemphillian","13.6","4.9","6294"
"187187","occ","","","18439","Amphimachairodus coloradensis","species","47842","Clarendonian","Hemphillian","13.6","4.9","6264"
"187199","occ","","","18441","Amphimachairodus coloradensis","species","47842","Hemphillian","","10.3","4.9","3504"
"187239","occ","","","18442","Pseudaelurus marshi","species","51144","Barstovian","","15.97","13.6","3510"
"187240","occ","","","18442","Pseudaelurus intrepidus","species","51143","Barstovian","","15.97","13.6","3510"
"187291","occ","","","18443","Pseudaelurus","genus","41072","Barstovian","","15.97","13.6","5714"
"187504","occ","6318","","18479","Felinae","subfamily","57432","Clarendonian","","13.6","10.3","6294"
"187507","occ","","","18481","Pseudaelurus","genus","41072","Clarendonian","","13.6","10.3","1706"
"187571","occ","","","18495","Amphimachairodus coloradensis","species","47842","Hemphillian","","10.3","4.9","1561"
"187755","occ","","","18532","Megantereon hesperus","species","47843","Late Hemphillian","","10.3","4.9","1064"
"187884","occ","","","18554","Nimravides galiani","species","49164","Late Clarendonian","","13.6","10.3","1027"
"187942","occ","","","18560","Felidae","family","41045","Hemphillian","","10.3","4.9","1919"
"188048","occ","6535","","18573","Felis rexroadensis","species","46527","Late Hemphillian","","10.3","4.9","2374"
"188049","occ","","","18573","Megantereon hesperus","species","47843","Late Hemphillian","","10.3","4.9","1064"
"188070","occ","6541","","18577","Felis rexroadensis","species","46527","Late Hemphillian","","10.3","4.9","6294"
"188071","occ","","","18577","Megantereon hesperus","species","47843","Late Hemphillian","","10.3","4.9","1064"
"188222","occ","","","18601","Machairodus","genus","41059","Hemphillian","","10.3","4.9","1051"
"188720","occ","","","18713","Amphimachairodus coloradensis","species","47842","Miocene","","23.03","5.333","1179"
"188789","occ","","","18733","Machairodus","genus","41059","Late Hemphillian","","10.3","4.9","1181"
"188800","occ","","","18735","Felidae","family","41045","Early Barstovian","","15.97","13.6","2030"
"188817","occ","","","18737","Pseudaelurus intrepidus","species","51143","Late Hemphillian","","10.3","4.9","1179"
"188850","occ","6816","","18740","Amphimachairodus coloradensis","species","47842","Late Hemphillian","","10.3","4.9","1179"
"188931","occ","","","18755","Pseudaelurus","genus","41072","Late Hemphillian","","10.3","4.9","2245"
"188932","occ","","","18755","Amphimachairodus coloradensis","species","47842","Late Hemphillian","","10.3","4.9","2245"
"189142","occ","","","18797","Pseudaelurus aeluroides","species","51141","Barstovian","","15.97","13.6","3295"
"189338","occ","","","18824","Pseudaelurus","genus","41072","Miocene","","23.03","5.333","3119"
"189380","occ","","","18833","Machairodus","genus","41059","Hemphillian","","10.3","4.9","3110"
"189402","occ","","","18835","Felidae","family","41045","Clarendonian","","13.6","10.3","2345"
"189412","occ","","","18837","Felidae","family","41045","Miocene","","23.03","5.333","2353"
"189452","occ","","","18845","Pseudaelurus","genus","41072","Clarendonian","","13.6","10.3","1489"
"189499","occ","","","18850","Felidae","family","41045","Hemphillian","","10.3","4.9","2073"
"189634","occ","","","18888","Pseudaelurus","genus","41072","Clarendonian","","13.6","10.3","2360"
"189694","occ","7172","","18900","Felinae","subfamily","57432","Hemphillian","","10.3","4.9","6294"
"189695","occ","","","18900","Machairodus","genus","41059","Hemphillian","","10.3","4.9","2886"
"189822","occ","","","18935","Pseudaelurus","genus","41072","Hemphillian","","10.3","4.9","3118"
"189835","occ","","","18936","Machairodontinae","subfamily","65494","Hemphillian","","10.3","4.9","3118"
"190035","occ","7288","","18970","Lynx longignathus","species","46523","Hemphillian","","10.3","4.9","6294"
"190036","occ","","","18970","Machairodus","genus","41059","Hemphillian","","10.3","4.9","3109"
"190089","occ","","","18982","Felidae","family","41045","Miocene","","23.03","5.333","969"
"190242","occ","","","19015","Felidae","family","41045","Hemphillian","","10.3","4.9","2581"
"190282","occ","","","19017","Pseudaelurus","genus","41072","Barstovian","","15.97","13.6","3117"
"190377","occ","","","19036","Felidae","family","41045","Late Clarendonian","","13.6","10.3","3684"
"190378","occ","","","19036","Felidae","family","41045","Late Clarendonian","","13.6","10.3","3684"
"190473","occ","7455","","19058","Machairodus","genus","41059","Hemphillian","","10.3","4.9","6198"
"190701","occ","","","19085","Felidae","family","41045","Hemphillian","","10.3","4.9","1052"
"190714","occ","","","19087","Felidae","family","41045","Miocene","","23.03","5.333","1052"
"190819","occ","","","19097","Pseudaelurus intrepidus","species","51143","Barstovian","","15.97","13.6","1826"
"190863","occ","","","19105","Felidae","family","41045","Late Hemphillian","","10.3","4.9","2066"
"190881","occ","","","19111","Felidae","family","41045","Blancan","","4.9","1.8","2066"
"190928","occ","7621","","19129","Felidae","family","41045","Miocene","","23.03","5.333","6294"
"190984","occ","","","19145","Pseudaelurus intrepidus","species","51143","Clarendonian","","13.6","10.3","1825"
"191099","occ","7696","","19185","Nimravides thinobates","species","51147","Clarendonian","","13.6","10.3","2339"
"191161","occ","","","19197","Felidae","family","41045","Hemingfordian","Barstovian","20.43","13.6","2817"
"191321","occ","","","19272","Machairodus","genus","41059","Hemphillian","","10.3","4.9","6333"
"191482","occ","","","19310","Felidae","family","41045","Miocene","","23.03","5.333","2877"
"191496","occ","","","19313","Machairodontinae","subfamily","65494","Barstovian","","15.97","13.6","2881"
"191602","occ","","","19339","Felidae","family","41045","Miocene","","23.03","5.333","1978"
"191629","occ","7890","","19348","Nimravides thinobates","species","51147","Hemphillian","","10.3","4.9","6294"
"191664","occ","","","19358","Felidae","family","41045","Hemingfordian","","20.43","15.97","2885"
"191751","occ","","","19376","Felidae","family","41045","Miocene","","23.03","5.333","2877"
"191834","occ","","","19392","Pseudaelurus","genus","41072","Barstovian","","15.97","13.6","2012"
"191860","occ","","","19396","Felidae","family","41045","Hemphillian","","10.3","4.9","2598"
"191906","occ","","","19417","Felidae","family","41045","Clarendonian","","13.6","10.3","2793"
"192001","occ","8022","","19445","Felinae","subfamily","57432","Late Hemphillian","","10.3","4.9","6294"
"192002","occ","8023","","19445","Felinae","subfamily","57432","Late Hemphillian","","10.3","4.9","6294"
"192032","occ","30156","","19449","Pseudaelurus validus","species","51148","Barstovian","","15.97","13.6","52057"
"192146","occ","","","19478","Felidae","family","41045","Hemingfordian","Barstovian","20.43","13.6","2817"
"192161","occ","","","19479","Machairodus","genus","41059","Hemphillian","","10.3","4.9","6198"
"192189","occ","","","19489","Pseudaelurus","genus","41072","Clarendonian","","13.6","10.3","2012"
"192310","occ","","","19514","Machairodus","genus","41059","Late Hemphillian","","10.3","4.9","2005"
"192311","occ","","","19514","Adelphailurus","genus","41047","Late Hemphillian","","10.3","4.9","2005"
"192312","occ","8154","","19514","Felinae","subfamily","57432","Late Hemphillian","","10.3","4.9","6294"
"192606","occ","","","19551","Nimravides","genus","41065","Hemphillian","","10.3","4.9","3626"
"192822","occ","8336","","19603","Felidae","family","41045","Clarendonian","","13.6","10.3","6279"
"192836","occ","","","19604","Amphimachairodus coloradensis","species","47842","Late Hemphillian","","10.3","4.9","2893"
"192891","occ","","","19612","Amphimachairodus coloradensis","species","47842","Late Hemphillian","","10.3","4.9","2381"
"192892","occ","","","19612","Adelphailurus kansensis","species","43735","Late Hemphillian","","10.3","4.9","2381"
"192893","occ","","","19612","Pseudaelurus","genus","41072","Late Hemphillian","","10.3","4.9","2381"
"192929","occ","","","19617","Chasmaporthetes ossifragus","species","45052","Blancan","Irvingtonian","4.9","0.3","1813"
"192946","occ","","","19618","Felidae","family","41045","Blancan","","4.9","1.8","1292"
"193026","occ","8407","","19628","Felinae","subfamily","57432","Blancan","","4.9","1.8","6294"
"193027","occ","","","19628","Chasmaporthetes ossifragus","species","45052","Blancan","","4.9","1.8","2194"
"193071","occ","8421","","19631","Felinae","subfamily","57432","Blancan","","4.9","1.8","6294"
"193157","occ","8442","","19648","Lynx","genus","41058","Blancan","","4.9","1.8","6294"
"193158","occ","8443","","19648","Chasmaporthetes ossifragus","species","45052","Blancan","","4.9","1.8","2194"
"193193","occ","8447","","19651","Felinae","subfamily","57432","Blancan","","4.9","1.8","6294"
"193243","occ","8457","","19654","Felinae","subfamily","57432","Blancan","","4.9","1.8","6294"
"193244","occ","8458","","19654","Chasmaporthetes ossifragus","species","45052","Blancan","","4.9","1.8","2194"
"193255","occ","","","19655","Felidae","family","41045","Blancan","","4.9","1.8","2617"
"193290","occ","","","19657","Homotherium","genus","41056","Blancan","","4.9","1.8","1584"
"193327","occ","8476","","19658","Felinae","subfamily","57432","Blancan","","4.9","1.8","6294"
"193351","occ","8482","","19663","Homotherium","genus","41056","Blancan","","4.9","1.8","6294"
"193352","occ","8483","","19663","Puma concolor","species","46513","Blancan","","4.9","1.8","6294"
"193392","occ","8500","","19673","Lynx","genus","41058","Blancan","","4.9","1.8","6294"
"193393","occ","8501","","19673","Machairodontinae","subfamily","65494","Blancan","","4.9","1.8","6294"
"193431","occ","8512","","19702","Miracinonyx studeri","species","46529","Blancan","","4.9","1.8","6294"
"193443","occ","8514","","19703","Felis rexroadensis","species","46527","Piacenzian","","3.6","2.588","6294"
"193451","occ","","","19704","Felidae","family","41045","Blancan","","4.9","1.8","1993"
"193461","occ","8517","","19705","Felis rexroadensis","species","46527","Blancan","","4.9","1.8","6294"
"193502","occ","8529","","19714","Felidae","family","41045","Blancan","","4.9","1.8","6294"
